User,Followers,Posts
antonlavrentiev,144480,1
kami_kadze,118318,2
kudamove,55189,1
vostochna_lavka,45400,1
ststeffani,37890,7
mashko_evgenia,31691,1
happy_newborn,30954,4
fit_n_go_,27719,1
aliexpressloveis,24467,3
_creative_fox,23936,2
natashafontan,22437,1
mnushki_igrushki,21511,12
gadanie_online,20853,1
dom_enota,20164,2
fantik_kz,19894,4
anna_burmistrova,19657,1
harmansky,19395,1
vercise,19374,2
tushite.svet,19080,6
loplopstory,18141,1
namsilat,16501,1
iokasta,15070,1
granat.store,12974,1
lipka1000,12678,1
kawaiifactory,12067,1
veedenta.ru_dc,11418,3
fitnes_serpuhov,10988,7
nailsprofi.ru,10906,2
ivmari_design,10586,1
estidea.kz,10433,2
oh_lillian,10360,1
mobilsalon,9976,1
vika__shevyakova,9904,1
mishkagift,9603,1
foodmarketmoscow,9081,1
sasshhaaaa,9030,2
honey.book,8670,2
ma_sha_art,8657,1
artecomoterapia,8272,2
nekrasova_lena,7907,1
magazin_arabika,7683,1
panatta_sport,7532,1
organic_lab,7517,1
tanyamint,7486,1
planeta_kartin,6766,2
tiande_cosm,6463,1
_love_iphone_,6374,1
dunaspa,6368,1
surprizator,6357,1
life_travelgram,6352,1
giveaways_gid,6317,1
natali.beauty.blogger,6304,1
nichego_svyatova,6229,1
flamin_goo,6228,1
motolinatattoo,6202,1
yulliets,6177,1
kate_vazhenkova,6176,1
katrin_vdovichenko,6118,4
every_day_new_giveaway,6113,1
shevtsova.pro,5920,1
super_giveaways_tyt,5902,1
magestictwelvemusic,5861,1
stasie_simonie,5781,1
sasha_jamieson,5765,1
inspiredbystaci,5765,1
kristiwhite,5765,1
oreshkanail_kodi_khv,5440,1
emmypoison,5427,1
fromthai_withlove,5426,3
orangemummy,5323,1
beskrulaya,5264,3
megamindru,5119,1
elena_s_dd_na_pp,5081,1
evgeniyakaryakina,5062,1
ekatosss,5059,1
