User,Followers,Posts
olesyayermakova,59082,1
labirintru,39489,18
muftakh_centre,28716,7
phoenix_book,26651,14
judyroom_astana,21642,1
mdclass,21036,1
mmoma,17711,1
elvira_ergalina,16069,1
iokasta,15070,1
gulbarshynzairova,14745,1
angelovskaya.olga,12249,12
lightingemotion,10820,1
uspehnacii,9576,14
psy_sav,9530,1
sasshhaaaa,9030,1
honey.book,8670,5
artecomoterapia,8272,2
roman_grytsyna,8249,1
zinovaulyana,8222,1
ekaterina_ronami,8210,1
sandfantasys,8122,1
sorvacheva,8050,1
rreading_together,7892,3
rozovakristina,7789,6
kakzdorovocenter,7629,10
alexandritamsk,7345,1
pdastana,7334,30
rabota_krsk,7203,1
alena_light,7000,2
anna_shvartsman_,6582,1
mamas_center,6580,1
art_lion_w,6440,1
caring_peoples,6400,1
nichego_svyatova,6229,4
melik_pashaev,6137,1
irina_pindyurina,6034,1
golden_charm_centr,5992,1
strekoza07.ru,5971,3
shamariki,5888,6
artstudio_kusty,5762,1
lokkearts,5737,8
ebrusilk,5651,1
natashaki375,5620,1
yulianna_do,5584,1
pog_anka,5563,28
azbooka_inostranka,5533,4
psysav,5526,1
oreshkanail_kodi_khv,5440,1
renata_teamo,5349,1
elena_kosheleva71,5290,7
beskrulaya,5264,1
prazeremcolorir,5232,1
vikagrand,5214,1
