User,Followers,Posts
mifbooks,45561,1
love_mandalas,33242,2
phoenix_book,26651,1
_creative_fox,23936,1
lulkabeautiful,16239,1
daria_gulenko,14259,1
morday,14255,1
zefir_shop_nnov,12524,6
paint_moscow,11409,80
showroom_kfw_by_arteast,10048,1
alenamashinskaya,9906,1
zendoodl.ru,9431,51
children_box,9398,1
boracolorirtop,8630,11
isterika3d,8153,1
sharky0071,7241,1
sunniest,7127,3
alena_light,7000,92
shankosha,6981,1
vika_fleer,6415,1
giveaways_gid,6317,1
risuemsmalutkoy,6218,1
every_day_new_giveaway,6113,1
mandala_sharing,5890,1
vasilisinamari,5345,32
biswomen,5300,1
beskrulaya,5264,1
prazeremcolorir,5232,11
