User,Followers,Posts
ma_linochka,48875,1
kuvshinnikova,33660,1
lenabablo,32816,1
flikkate,22350,3
vanda_bezrukova,16478,1
colorindolivrostop,15863,1
ksenyagromova,15246,44
morday,14255,1
daartagnaan,12230,29
kamikoza,11920,4
veedenta.ru_dc,11418,1
paint_moscow,11409,80
zendoodl.ru,9431,59
boracolorirtop,8630,11
pastelfeline_,8397,1
isterika3d,8153,2
mrsmorphine,7385,5
sunniest,7127,8
alena_light,7000,16
shankosha,6981,7
mandala_sharing,5890,1
naya_khanda,5824,1
doodleartclub_ru,5633,16
vasilisinamari,5345,30
biswomen,5300,1
prazeremcolorir,5232,11
lenamagkeeva,5228,1
tdblik,5076,1
