User,Followers,Posts
juli_addicted,58077,1
phoenix_book,26651,1
ksenyagromova,15246,9
iokasta,15070,1
morday,14255,2
mame_skidka,9186,1
sasshhaaaa,9030,2
honey.book,8670,2
boracolorirtop,8630,1
artecomoterapia,8272,2
rreading_together,7892,2
deltinka,7871,1
planeta_kartin,6766,9
giveaways_4fun,6405,1
giveaways_gid,6317,1
nichego_svyatova,6229,2
kate_vazhenkova,6176,1
every_day_new_giveaway,6113,1
super_giveaways_tyt,5902,1
doodleartclub_ru,5633,1
kristinas_tips,5412,1
beskrulaya,5264,1
anitalacrima,5138,1
